UniqueID;CICLO;ANIO;SEMESTRE;EDAD;SEXO;PROVINCIA;TIPOCOLEGIO;COLEEXC;COLPRE;COLPRIV;EXADMISION;ESCALA;MODALIDAD;DISTRITO;PROVINCIA;DEPARTAMENTO;DISTANCIA;FILOSOFIA;ACTIVIDADES;LENGUAJE;REALIDADNACIONAL;METODOSDEESTUDIO;INTRODUCCIONINGENIERIA;GEOMETRIAANALITICA;MATEMATICADISCRETA;APROBADO
135;20101;2010;1;17;1;0;ESTATAL;0;0;0;0.105;14;EXONERADO POR PRIMERA ALTERNATIVA;LIMA;LIMA;LIMA;14.148;18;16;16;16;16;15;20;20;1
136;20101;2010;1;17;0;1;ESTATAL;0;0;0;0.9543;11;EXONERADO POR PRIMERA ALTERNATIVA;LA VICTORIA;LIMA;LIMA;8.038;15;17;12;13;14;11;11;16;1
137;20101;2010;1;17;1;0;ESTATAL;1;0;0;0.0936;14;EXONERADO POR PRIMERA ALTERNATIVA;SAN BORJA;LIMA;LIMA;6.002;15;15;14;14;14;13;17;18;1
140;20101;2010;1;17;1;0;ESTATAL;0;0;0;0.0657;15;EXONERADO POR PRIMERA ALTERNATIVA;BREÑA;LIMA;LIMA;11.868;13;14;13;12;11;10;2;6;0
141;20101;2010;1;16;1;0;ESTATAL;0;0;0;0.0707;15;EXONERADO POR PRIMERA ALTERNATIVA;SAN JUAN DE MIRAFLORES;LIMA;LIMA;10.698;12;15;11;10;11;12;8;9;0
142;20101;2010;1;16;1;0;ESTATAL;0;0;0;0.7886;13;EXONERADO POR PRIMERA ALTERNATIVA;LA PERLA;CALLAO;CALLAO;17.775;14;15;13;12;13;11;10;13;0
143;20101;2010;1;17;1;0;PRE-UNIVERSITARIO;0;1;1;0.7343;15;EXONERADO POR PRIMERA ALTERNATIVA;VILLA MARIA DEL TRIUNFO;LIMA;LIMA;11.271;10;13;5;1;4;6;4;9;0
144;20101;2010;1;16;1;0;PRE-UNIVERSITARIO;0;1;1;0.7314;13;EXONERADO POR PRIMERA ALTERNATIVA;SAN MARTIN DE PORRES;LIMA;LIMA;16.242;12;14;12;12;12;10;9;8;0
145;20101;2010;1;16;0;0;PRIVADO;0;0;1;0.765;15;EXONERADO POR PRIMERA ALTERNATIVA;LA MOLINA;LIMA;LIMA;6.083;14;12;12;11;13;11;1;8;0
146;20101;2010;1;16;0;0;PRE-UNIVERSITARIO;0;1;1;0.8793;13;EXONERADO POR PRIMERA ALTERNATIVA;JESUS MARIA;LIMA;LIMA;12.373;15;14;12;13;12;10;7;7;0
147;20101;2010;1;17;1;1;ESTATAL;0;0;0;0.7379;14;EXONERADO POR PRIMERA ALTERNATIVA;CHINCHA ALTA;CHINCHA;ICA;11;15;13;13;11;13;9;4;8;0
149;20101;2010;1;16;1;0;ESTATAL;0;0;0;0.0907;14;EXONERADO POR PRIMERA ALTERNATIVA;LA MOLINA;LIMA;LIMA;1.074;17;14;13;14;14;13;16;16;1
150;20101;2010;1;16;1;1;PRIVADO;0;0;1;0.7279;15;EXONERADO POR PRIMERA ALTERNATIVA;LOS OLIVOS;LIMA;LIMA;18.829;13;14;11;11;12;10;5;12;0
151;20101;2010;1;17;1;0;ESTATAL;0;0;0;0.9736;14;EXONERADO POR PRIMERA ALTERNATIVA;BELLAVISTA;CALLAO;CALLAO;16.725;16;11;14;12;15;12;13;14;1
152;20101;2010;1;15;1;0;ESTATAL;0;0;0;0.8879;15;EXONERADO POR PRIMERA ALTERNATIVA;LA VICTORIA;LIMA;LIMA;7.749;14;17;12;12;12;11;8;11;0
